Rank,player,club,nationality,position,shots,shotsOnTarget,shotsOnTargetPercent
1,Luke Shaw,Manchester United,England,DEF,21,7,33
2,Diogo Dalot,Manchester United,Portugal,DEF,15,0,0
3,Ashley Young,Manchester United,England,DEF,12,3,25
4,Chris Smalling,Manchester United,England,DEF,11,2,18
5,Victor Lindelöf,Manchester United,Sweden,DEF,8,1,13
6,Marcos Rojo,Manchester United,Argentina,DEF,6,4,67
7,Phil Jones,Manchester United,England,DEF,5,2,40
8,Eric Bailly,Manchester United,Cote D'Ivoire,DEF,3,1,33
9,Antonio Valencia,Manchester United,Ecuador,DEF,2,0,0
10,Matteo Darmian,Manchester United,Italy,DEF,1,1,100
1,Fabian Schär,Newcastle United,Switzerland,DEF,25,7,28
2,Jamaal Lascelles,Newcastle United,England,DEF,11,1,9
2,DeAndre Yedlin,Newcastle United,United States,DEF,11,2,18
4,Paul Dummett,Newcastle United,Wales,DEF,9,1,11
5,Ciaran Clark,Newcastle United,Ireland,DEF,7,3,43
5,Florian Lejeune,Newcastle United,France,DEF,7,2,29
7,Federico Fernández,Newcastle United,Argentina,DEF,4,1,25
8,Javier Manquillo,Newcastle United,Spain,DEF,2,1,50
1,Ryan Bertrand,Southampton,England,DEF,16,2,13
2,Jannik Vestergaard,Southampton,Denmark,DEF,14,1,7
3,Maya Yoshida,Southampton,Japan,DEF,13,3,23
4,Matt Targett,Southampton,England,DEF,11,3,27
5,Cédric Soares,Southampton,Portugal,DEF,10,3,30
6,Jack Stephens,Southampton,England,DEF,7,5,71
7,Wesley Hoedt,Southampton,Netherlands,DEF,6,1,17
7,Yan Valery,Southampton,France,DEF,6,5,83
9,Jan Bednarek,Southampton,Poland,DEF,5,1,20
1,Toby Alderweireld,Tottenham Hotspur,Belgium,DEF,19,5,26
2,Danny Rose,Tottenham Hotspur,England,DEF,15,2,13
2,Jan Vertonghen,Tottenham Hotspur,Belgium,DEF,15,2,13
4,Ben Davies,Tottenham Hotspur,Wales,DEF,14,1,7
4,Davinson Sánchez,Tottenham Hotspur,Colombia,DEF,14,3,21
6,Kieran Trippier,Tottenham Hotspur,England,DEF,8,3,38
7,Serge Aurier,Tottenham Hotspur,Cote D'Ivoire,DEF,4,1,25
7,Juan Foyth,Tottenham Hotspur,Argentina,DEF,4,1,25
9,Kyle Walker-Peters,Tottenham Hotspur,England,DEF,2,0,0
1,José Holebas,Watford,Greece,DEF,17,5,29
2,Craig Cathcart,Watford,Northern Ireland,DEF,13,5,38
3,Daryl Janmaat,Watford,Netherlands,DEF,11,1,9
4,Christian Kabasele,Watford,Belgium,DEF,8,2,25
5,Adrian Mariappa,Watford,Jamaica,DEF,7,1,14
6,Kiko Femenía,Watford,Spain,DEF,6,2,33
7,Adam Masina,Watford,Italy,DEF,3,0,0
7,Fabián Balbuena,West Ham United,Paraguay,DEF,19,2,11
10,Angelo Ogbonna,West Ham United,Italy,DEF,14,5,36
12,Issa Diop,West Ham United,France,DEF,12,5,42
13,Aaron Cresswell,West Ham United,England,DEF,11,0,0
18,Pablo Zabaleta,West Ham United,Argentina,DEF,7,1,14
19,Ryan Fredericks,West Ham United,England,DEF,5,2,40
20,Arthur Masuaku,West Ham United,The Democratic Republic Of Congo,DEF,4,1,25
2,Rúben Neves,Wolverhampton Wanderers,Portugal,DEF,74,16,22
4,Matt Doherty,Wolverhampton Wanderers,Ireland,DEF,46,18,39
5,Jonny,Wolverhampton Wanderers,Spain,DEF,25,8,32
7,Willy Boly,Wolverhampton Wanderers,France,DEF,24,6,25
11,Ryan Bennett,Wolverhampton Wanderers,England,DEF,15,4,27
16,Rúben Vinagre,Wolverhampton Wanderers,Portugal,DEF,4,3,75
