rank,player,club,nationality,position,minutesPlayed
9,Antonio Barreca,Newcastle United,Italy,DEF,4
1,Ryan Bertrand,Southampton,England,DEF,"2,160"
2,Jan Bednarek,Southampton,Poland,DEF,"2,150"
3,Jannik Vestergaard,Southampton,Denmark,DEF,"2,030"
4,Yan Valery,Southampton,France,DEF,"1,714"
5,Jack Stephens,Southampton,England,DEF,"1,697"
6,Maya Yoshida,Southampton,Japan,DEF,"1,519"
7,Cédric Soares,Southampton,Portugal,DEF,"1,494"
8,Matt Targett,Southampton,England,DEF,"1,187"
9,Wesley Hoedt,Southampton,Netherlands,DEF,"1,170"
10,Kayne Ramsay,Southampton,England,DEF,90
1,Toby Alderweireld,Tottenham Hotspur,Belgium,DEF,"2,923"
2,Kieran Trippier,Tottenham Hotspur,England,DEF,"2,278"
3,Davinson Sánchez,Tottenham Hotspur,Colombia,DEF,"1,943"
4,Jan Vertonghen,Tottenham Hotspur,Belgium,DEF,"1,914"
5,Ben Davies,Tottenham Hotspur,Wales,DEF,"1,839"
6,Danny Rose,Tottenham Hotspur,England,DEF,"1,798"
7,Juan Foyth,Tottenham Hotspur,Argentina,DEF,890
8,Serge Aurier,Tottenham Hotspur,Cote D'Ivoire,DEF,563
9,Kyle Walker-Peters,Tottenham Hotspur,England,DEF,374
1,Craig Cathcart,Watford,Northern Ireland,DEF,"3,098"
2,José Holebas,Watford,Greece,DEF,"2,394"
3,Kiko Femenía,Watford,Spain,DEF,"2,046"
4,Adrian Mariappa,Watford,Jamaica,DEF,"1,924"
5,Christian Kabasele,Watford,Belgium,DEF,"1,587"
6,Daryl Janmaat,Watford,Netherlands,DEF,"1,522"
7,Adam Masina,Watford,Italy,DEF,"1,004"
8,Miguel Britos,Watford,Uruguay,DEF,185
9,Marc Navarro,Watford,Spain,DEF,85
10,Ben Wilmot,Watford,England,DEF,26
11,Sebastian Prödl,Watford,Austria,DEF,13
1,Declan Rice,West Ham United,England,DEF,"3,004"
2,Issa Diop,West Ham United,France,DEF,"2,970"
3,Pablo Zabaleta,West Ham United,Argentina,DEF,"2,091"
4,Fabián Balbuena,West Ham United,Paraguay,DEF,"2,014"
5,Angelo Ogbonna,West Ham United,Italy,DEF,"1,871"
6,Arthur Masuaku,West Ham United,The Democratic Republic Of Congo,DEF,"1,757"
7,Aaron Cresswell,West Ham United,England,DEF,"1,590"
8,Ryan Fredericks,West Ham United,England,DEF,"1,085"
1,Willy Boly,Wolverhampton Wanderers,France,DEF,"3,168"
2,Matt Doherty,Wolverhampton Wanderers,Ireland,DEF,"3,147"
3,Ryan Bennett,Wolverhampton Wanderers,England,DEF,"3,060"
4,Jonny,Wolverhampton Wanderers,Spain,DEF,"2,777"
5,Rúben Vinagre,Wolverhampton Wanderers,Portugal,DEF,706
6,Max Kilman,Wolverhampton Wanderers,England,DEF,1
